['126093', '0.03', '-57.20', '0.00', '0.00', '0.85', '-6.74', '-0.50']
['126119', '0.03', '-57.20', '0.00', '0.00', '0.83', '-6.67', '-0.50']
['126145', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.60', '-0.50']
['126171', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.53', '-0.50']
['126197', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.48', '-0.50']
['126223', '0.03', '-57.20', '0.00', '0.00', '0.77', '-6.34', '-0.50']
['126249', '0.03', '-57.20', '0.00', '0.00', '0.76', '-6.32', '-0.50']
['126275', '0.03', '-57.20', '0.00', '0.00', '0.76', '-6.32', '-0.50']
['126301', '0.03', '-57.20', '0.00', '0.00', '0.77', '-6.35', '-0.50']
['126327', '0.03', '-57.20', '0.00', '0.00', '0.78', '-6.38', '-0.50']
['126353', '0.03', '-57.20', '0.00', '0.00', '0.78', '-6.38', '-0.50']
['126379', '0.03', '-57.20', '0.00', '0.00', '0.78', '-6.39', '-0.50']
['126405', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.50', '-0.50']
['126431', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.61', '-0.50']
['126457', '0.03', '-57.20', '0.00', '0.00', '0.83', '-6.67', '-0.50']
['126483', '0.03', '-57.20', '0.00', '0.00', '0.83', '-6.66', '-0.50']
['126509', '0.03', '-57.20', '0.00', '0.00', '0.83', '-6.65', '-0.50']
['126535', '0.03', '-57.20', '0.00', '0.00', '0.83', '-6.64', '-0.50']
['126561', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.58', '-0.50']
['126587', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.49', '-0.50']
['126613', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.48', '-0.50']
['126639', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.47', '-0.50']
['126665', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.44', '-0.50']
['126691', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.46', '-0.50']
['126717', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.51', '-0.50']
['126743', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.47', '-0.50']
['126769', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.49', '-0.50']
['126795', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.52', '-0.50']
['126821', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.48', '-0.50']
['126847', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.44', '-0.50']
['126873', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.46', '-0.50']
['126899', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.53', '-0.50']
['126925', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.55', '-0.50']
['126951', '0.03', '-57.20', '0.00', '0.00', '0.80', '-6.49', '-0.50']
['126977', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.46', '-0.50']
['127003', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.44', '-0.50']
['127029', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.47', '-0.50']
['127055', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.46', '-0.50']
['127081', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.46', '-0.50']
['127107', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.43', '-0.50']
['127133', '0.03', '-57.20', '0.00', '0.00', '0.76', '-6.30', '-0.50']
['127159', '0.03', '-57.20', '0.00', '0.00', '0.74', '-6.21', '-0.50']
['127185', '0.03', '-57.20', '0.00', '0.00', '0.74', '-6.18', '-0.50']
['127211', '0.03', '-57.20', '0.00', '0.00', '0.75', '-6.24', '-0.50']
['127237', '0.03', '-57.20', '0.00', '0.00', '0.72', '-6.11', '-0.50']
['127263', '0.03', '-57.20', '0.00', '0.00', '0.70', '-5.99', '-0.50']
['127289', '0.03', '-57.20', '0.00', '0.00', '0.68', '-5.88', '-0.50']
['127315', '0.03', '-57.20', '0.00', '0.00', '0.67', '-5.84', '-0.50']
['127341', '0.03', '-57.20', '0.00', '0.00', '0.67', '-5.84', '-0.50']
['127367', '0.03', '-57.20', '0.00', '0.00', '0.68', '-5.91', '-0.50']
['127393', '0.03', '-57.20', '0.00', '0.00', '0.65', '-5.77', '-0.50']
['127419', '0.03', '-57.20', '0.00', '0.00', '0.65', '-5.74', '-0.50']
['127445', '0.03', '-57.20', '0.00', '0.00', '0.65', '-5.73', '-0.50']
['127471', '0.03', '-57.20', '0.00', '0.00', '0.65', '-5.74', '-0.50']
['127497', '0.03', '-57.20', '0.00', '0.00', '0.63', '-5.67', '-0.50']
['127523', '0.03', '-57.20', '0.00', '0.00', '0.62', '-5.60', '-0.50']
['127549', '0.03', '-57.20', '0.00', '0.00', '0.62', '-5.58', '-0.50']
['127575', '0.03', '-57.20', '0.00', '0.00', '0.65', '-5.73', '-0.50']
['127601', '0.03', '-57.20', '0.00', '0.00', '0.66', '-5.81', '-0.50']
['127627', '0.03', '-57.20', '0.00', '0.00', '0.68', '-5.90', '-0.50']
['127653', '0.03', '-57.20', '0.00', '0.00', '0.71', '-6.03', '-0.50']
['127679', '0.03', '-57.20', '0.00', '0.00', '0.73', '-6.13', '-0.50']
['127705', '0.03', '-57.20', '0.00', '0.00', '0.72', '-6.12', '-0.50']
['127731', '0.03', '-57.20', '0.00', '0.00', '0.72', '-6.11', '-0.50']
['127757', '0.03', '-57.20', '0.00', '0.00', '0.71', '-6.07', '-0.50']
['127783', '0.03', '-57.20', '0.00', '0.00', '0.72', '-6.11', '-0.50']
['127809', '0.03', '-57.20', '0.00', '0.00', '0.73', '-6.13', '-0.50']
['127835', '0.03', '-57.20', '0.00', '0.00', '0.73', '-6.17', '-0.50']
['127861', '0.03', '-57.20', '0.00', '0.00', '0.76', '-6.28', '-0.50']
['127887', '0.03', '-57.20', '0.00', '0.00', '0.79', '-6.46', '-0.50']
['127913', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.55', '-0.50']
['127939', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.57', '-0.50']
['127965', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.57', '-0.50']
['127992', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.58', '-0.50']
['128018', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.59', '-0.50']
['128044', '0.03', '-57.20', '0.00', '0.00', '0.83', '-6.66', '-0.50']
['128070', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.61', '-0.50']
['128096', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.62', '-0.50']
['128122', '0.03', '-57.20', '0.00', '0.00', '0.85', '-6.74', '-0.50']
['128148', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.94', '-0.50']
['128174', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.04', '-0.50']
['128200', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.05', '-0.50']
['128226', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.97', '-0.50']
['128252', '0.03', '-57.20', '0.00', '0.00', '0.90', '-7.00', '-0.50']
['128278', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.96', '-0.50']
['128304', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.91', '-0.50']
['128330', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.86', '-0.50']
['128356', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.88', '-0.50']
['128382', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.87', '-0.50']
['128408', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.79', '-0.50']
['128434', '0.03', '-57.20', '0.00', '0.00', '0.84', '-6.70', '-0.50']
['128460', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.60', '-0.50']
['128486', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.59', '-0.50']
['128512', '0.03', '-57.20', '0.00', '0.00', '0.83', '-6.65', '-0.50']
['128538', '0.03', '-57.20', '0.00', '0.00', '0.84', '-6.70', '-0.50']
['128564', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.62', '-0.50']
['128590', '0.03', '-57.20', '0.00', '0.00', '0.84', '-6.68', '-0.50']
['128616', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.78', '-0.50']
['128642', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.83', '-0.50']
['128668', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.84', '-0.50']
['128694', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.89', '-0.50']
['128720', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.92', '-0.50']
['128746', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.87', '-0.50']
['128772', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.80', '-0.50']
['128798', '0.03', '-57.20', '0.00', '0.00', '0.85', '-6.77', '-0.50']
['128824', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.79', '-0.50']
['128850', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.84', '-0.50']
